voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1206,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1207,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1208,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1209,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1210,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1211,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1212,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1213,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1214,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1215,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1216,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1217,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1218,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1219,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1220,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1221,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1222,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1223,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1224,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1225,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
1226,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
1227,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
1228,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
